,CD119 (IFN-g R a chain),CD11b,CD14,CD16,CD163,CD20,CD204,CD206,CD273,CD274,CD279 (PD-1),CD32,CD36,CD38,CD4,CD54,CD64,CD68,CD7,CD71,CD81,CD82,CD86,CD88,CD8a,CXCR4,HLA-ABC,HLA-DR,Neuropilin-1,Slamf7
batch1_sample1_transformed,-0.92237175,-0.111470245,-0.15399988,-0.4108608,0.71467257,-0.728385,-0.6252882,-0.9023217,0.26977077,0.032005977,-0.4996285,-0.62141246,-0.03846821,0.5047395,-0.09570226,-0.579607,-0.78127515,0.112506054,-0.45319727,-0.29422638,-0.50451124,-0.6185484,0.40816516,-0.7158307,-0.65249944,-0.331957,-0.541788,-0.306842,0.44108483,-0.27801067
batch1_sample1_transformed,-0.8284573,0.054728214,-0.28202844,-0.16864595,-0.16424473,-0.66293186,-0.09565754,-0.49523222,0.45765626,-0.31956044,-0.5707107,-0.5448254,-0.31298792,0.45249945,-0.32867303,-0.31888685,-0.32956272,0.3847699,-0.059545994,-0.22797161,0.0052143456,-0.58682424,-0.37334678,0.39917257,-0.43851355,0.5056304,-0.66946936,-0.7712706,0.30478016,-0.59409183
batch1_sample1_transformed,-0.8199709,-0.52122694,-0.3039927,-0.08622221,-0.46553916,-0.5721722,0.10367904,-0.8431709,0.3854256,-0.5475435,-0.55458546,-0.6536645,-0.67556393,-0.52091664,-0.018511904,-0.5704707,-0.6194735,-0.3998726,-0.50504947,-0.29982743,-0.13758758,-0.5114117,-0.23697789,-0.4832369,-0.4755603,-0.27424356,-0.6730672,0.1151813,-0.27943853,-0.4069736
batch1_sample1_transformed,-0.6540692,-0.23654757,-0.41616032,-0.21427202,-0.4426208,-0.6260414,0.2542903,-0.6559245,0.48965913,-0.7441138,-0.49816307,-0.29900837,-0.6668601,-0.33969778,-0.08503376,-0.37004614,-0.18379165,-0.3653668,-0.51030475,-0.34907737,0.3520618,-0.47968087,-0.25312394,-0.09064158,-0.38489094,0.15746726,-0.58608097,-0.10837435,-0.2441851,-0.590842
batch1_sample1_transformed,0.97975093,-0.004178896,0.01326764,0.51475215,0.7470835,-0.04061103,-0.61159325,0.79425824,-0.17190489,0.6762681,0.31277958,-0.76128024,0.9788363,-0.08309182,-0.3337829,-0.49469152,0.7095921,-0.06314884,0.77919924,0.5161647,-0.27404648,-0.9514834,0.89416146,-0.5510534,0.80178326,0.1013131,0.33256823,-0.33747593,-0.5318492,0.7868268
batch1_sample1_transformed,0.99386734,0.96069753,0.8919103,-0.9997817,0.962049,0.9999166,0.099350326,0.9999771,-0.99411523,0.71530926,0.9999971,0.99784696,0.99022305,0.9966341,0.17728794,0.9999847,0.9999865,0.16028887,0.99931014,-0.86780196,0.7848968,0.9125724,-0.20967297,0.9787988,0.9662899,-0.645251,0.9815736,0.6742345,0.8073775,0.7522444
batch1_sample1_transformed,-0.4202499,-0.5015747,0.5613778,-0.06916121,0.5274831,0.020945305,-0.26521567,0.88169605,0.00791599,-0.0124451835,-0.80646914,-0.06454903,0.29747927,-0.53875214,-0.18942726,0.48813242,-0.75926113,0.7355085,0.12669463,0.4848666,-0.19350208,0.4636119,0.047931336,-0.28926465,-0.41727614,0.3607884,0.9239251,0.60473305,-0.6639216,0.37337238
batch1_sample1_transformed,-0.8839771,-0.4466783,-0.013808918,-0.10695115,-0.48189977,-0.7497919,-0.0013637459,-0.841362,0.6048613,-0.6236608,-0.7026203,-0.74102515,-0.74078196,-0.54544747,-0.11764407,-0.6078277,-0.7337504,-0.0018347276,-0.45388928,-0.14314625,-0.015547228,-0.62397873,-0.21077329,-0.4097261,-0.5470125,-0.11483413,-0.7112923,-0.16281752,-0.419936,-0.47650585
batch1_sample1_transformed,-0.63062024,-0.4170869,-0.4895911,0.35210276,-0.4411386,-0.49554098,0.33839554,-0.6574689,0.6052475,-0.16917634,-0.7762776,-0.3551844,-0.4458597,-0.14275101,-0.39526242,-0.5985475,-0.43343,-0.5830385,-0.54176736,-0.37848398,0.1776998,-0.42921343,-0.2556471,-0.20368865,-0.33457613,-0.1246641,-0.50319105,0.31662056,-0.06781406,-0.46620962
batch1_sample1_transformed,0.93993586,0.9420117,-0.73571473,-0.9479249,0.06348084,0.9119606,-0.97531325,0.98507226,-0.9935555,0.2640058,0.99674207,0.98969674,0.87134403,0.9952724,0.99784416,0.97520036,0.99955374,-0.205461,0.99984837,0.6964218,0.88335866,0.96745175,-0.06572434,0.99535245,0.91296715,0.073089816,0.39430422,-0.99357796,0.96501905,-0.28647208
batch1_sample1_transformed,0.34814784,-0.3035011,-0.09962075,-0.063352995,0.8529425,0.12461101,-0.82712984,-0.28468445,-0.68687403,0.37200412,0.43452713,-0.94419783,0.9107767,-0.49483737,0.3057551,-0.66892105,-0.2567622,0.50232506,0.35741574,0.6023221,-0.8934273,-0.8714602,0.86054206,-0.8971112,0.05836818,-0.29088753,0.10115387,-0.36203018,-0.3606977,0.73652256
batch1_sample1_transformed,-0.8166503,-0.44093478,-0.42355883,-0.25963247,0.16394237,-0.64202356,-0.21447778,-0.8888709,0.21325795,-0.09774568,-0.26379874,-0.6407257,-0.12576464,0.04770042,-0.26515883,-0.4734018,-0.6768138,-0.21660835,-0.39155588,-0.4217501,-0.4456127,-0.58732724,0.08532528,-0.44379684,-0.48589587,-0.33221692,-0.5604958,0.08876728,0.22027773,-0.3372813
batch1_sample1_transformed,-0.45857924,-0.7275211,-0.30124888,-0.010868044,-0.3899827,-0.5608955,-0.32658145,-0.8268102,0.17091016,-0.16520222,-0.2972607,-0.301748,-0.6335706,-0.036122583,-0.14599693,-0.47081116,-0.7967097,-0.26638412,-0.47892633,-0.60795075,-0.5239868,-0.077507265,-0.44044966,-0.23267299,0.001986527,-0.43302873,-0.42539677,0.6680259,-0.07900645,-0.46071032
batch1_sample1_transformed,0.7908663,0.881833,-0.65769863,-0.9386877,-0.071027435,-0.6714202,0.8624788,0.909446,-0.030424232,-0.995417,0.8343837,0.987702,-0.90897685,0.2791693,0.67704976,0.9604614,0.9909114,0.08243361,-0.45601737,0.4951977,0.96003616,0.023264373,-0.45734248,0.74135953,0.46281093,0.928244,0.57157844,-0.98576033,0.30132458,-0.93158007
batch1_sample1_transformed,0.4740438,0.16471675,-0.55465764,-0.37435,-0.34473255,-0.7373415,0.7964381,-0.11819015,0.580534,-0.8296136,0.27906445,0.44062462,-0.3618669,-0.3708171,-0.38370487,0.24688889,0.763294,-0.6624187,-0.75118834,-0.1916525,0.8078369,-0.53783095,0.086051255,-0.12851778,0.07336815,0.24456786,-0.30975297,-0.10510437,-0.37557516,-0.483733
batch1_sample1_transformed,-0.36673033,-0.82200545,-0.5441676,0.18826154,-0.5738372,-0.2888728,-0.45066094,-0.77807707,-0.20112248,-0.5360597,-0.33612555,-0.51829296,-0.63063616,-0.4321609,0.41728288,-0.67487776,-0.64122283,-0.6221466,-0.3028123,-0.47969875,-0.48797035,0.118097566,-0.4822055,-0.41572025,0.019374175,-0.44806936,-0.5753716,0.6134599,-0.4415159,-0.29023048
batch1_sample1_transformed,-0.4173446,0.36611634,-0.52576745,0.032196935,0.2757638,-0.13734603,0.3171159,0.06712051,0.4911517,0.1684809,-0.42404565,-0.106481574,0.2497119,0.75221145,-0.63937384,-0.061967652,0.27385512,0.18634136,-0.59539026,-0.28390625,0.15151298,-0.45153636,-0.15521926,0.37857896,-0.21097915,0.601666,-0.3481768,-0.49444273,0.5770439,-0.5866884
batch1_sample1_transformed,-0.8656679,-0.37520018,-0.39740932,0.37260994,-0.5896208,-0.5986946,0.0046808245,-0.82853556,0.38874745,0.065875985,-0.7036681,-0.78067327,-0.35231635,-0.16157731,-0.30320063,-0.7397376,-0.69263387,-0.07483087,-0.13908212,-0.2516131,-0.38163275,-0.5933928,-0.35896513,0.05208028,-0.5117243,0.07832749,-0.76175225,-0.27685454,0.027420765,-0.32884854
batch1_sample1_transformed,-0.9105917,-0.4311353,-0.34211722,-0.1002078,-0.08755756,-0.74707323,-0.41045278,-0.91601354,0.19258977,-0.3128811,-0.51150006,-0.8009737,-0.38119578,-0.2948906,-0.053579994,-0.7199345,-0.79846144,0.26943922,-0.16136965,-0.011555139,-0.5902031,-0.62050664,0.02185586,-0.43575323,-0.62183005,-0.22631852,-0.619015,-0.33142033,-0.040186003,-0.32319927
batch1_sample1_transformed,-0.86097306,-0.7332002,-0.008957684,-0.1951592,0.15945888,-0.7250033,-0.9466243,-0.65305513,-0.06499323,-0.2774258,-0.7242689,-0.82560825,-0.4894468,0.15631694,0.056427922,-0.65940994,-0.91769105,0.80302227,0.7585006,-0.12749451,-0.647375,-0.380091,-0.30401865,-0.055331796,-0.5024809,-0.45151764,-0.37663823,0.24311592,-0.39088538,-0.30932802
batch1_sample1_transformed,0.031085338,0.17330623,0.5998172,-0.29125562,0.884048,0.068925425,-0.091186814,0.4861045,0.3577739,-0.06481491,-0.7441744,0.87055355,-0.5423761,0.44170374,-0.8166927,0.40723175,-0.8425448,0.44425106,-0.7410241,-0.5576009,-0.6239314,-0.4268886,0.3872629,-0.60237175,-0.2210714,0.38102287,0.8425499,0.82642347,0.25952083,0.20000035
batch1_sample1_transformed,-0.3752671,-0.72441536,-0.33529118,-0.3984442,-0.09797055,-0.4784603,-0.6305244,-0.83313113,-0.10172056,-0.43128178,0.17249781,-0.45006034,-0.5667781,-0.14983249,0.10688636,-0.51657593,-0.59565014,-0.12996341,-0.019950578,-0.49093106,-0.53981173,-0.24958278,-0.2297471,-0.5020686,0.01572859,-0.7508781,-0.34493077,0.6668133,-0.29186803,-0.41448584
batch1_sample1_transformed,0.12816578,-0.39839694,-0.75898325,0.55036664,0.15844171,-0.22611795,-0.47166458,0.27683237,-0.55813545,-0.20633356,-0.77640945,0.54163706,-0.13415731,-0.43339726,0.13526899,-0.27782848,-0.73017883,0.6722683,-0.4213252,0.7416602,-0.6159973,0.826839,0.19733112,0.0102344835,-0.47417012,0.28112108,0.8654081,0.6353253,-0.042083573,0.244825
batch1_sample1_transformed,-0.028324662,0.36370045,-0.7659951,-0.39839402,-0.40946448,-0.39313352,0.38977584,0.18058099,-0.21785305,-0.8174814,0.24097128,0.5061059,-0.58192194,0.29138705,0.3328832,0.28214362,0.74859023,-0.04828411,-0.02640884,0.046221588,0.3361632,-0.31340042,-0.5227501,0.6093726,0.04960145,0.7332722,-0.28242552,-0.8739085,0.3827454,-0.7342924
batch1_sample1_transformed,0.99999535,0.9950153,-0.47661963,-0.9980618,0.9927811,0.9997416,0.9926828,1.0,-0.9960187,-0.8000971,0.9999995,0.99992216,0.9999659,0.99898535,0.99446607,0.99999964,1.0,-0.9980427,0.849253,0.8896773,0.9982827,0.5818952,0.91959953,0.901731,0.9998394,0.9996251,0.9846808,-0.999776,0.8367939,0.60128874
batch1_sample1_transformed,0.745551,0.89855486,0.969005,0.6819298,0.8803463,0.9965989,0.99481195,0.9947647,0.17071195,0.9827338,0.46158865,0.56111366,0.98250884,-0.50114083,-0.87976676,0.97048545,0.57145935,0.11451935,-0.91755,0.6388229,-0.041936986,0.3897708,0.5970865,-0.35176834,0.27850714,0.9198575,0.9885003,-0.062044166,0.30956984,0.8107337
batch1_sample1_transformed,0.063324414,-0.7240608,-0.48157045,0.066086575,-0.5431835,-0.32516277,-0.43108803,-0.6740523,-0.12300293,-0.612022,-0.08141824,-0.45612267,-0.50778884,-0.469318,0.49356195,-0.63875455,-0.13808906,-0.755502,-0.034880072,-0.33521038,-0.0855257,-0.1976842,-0.16758332,-0.5264142,0.20750116,-0.5786301,-0.66043204,0.515151,-0.5768056,-0.10180413
batch1_sample1_transformed,-0.6372957,-0.44764245,-0.5863948,0.5255785,-0.35826585,-0.21825264,0.2193875,-0.551765,0.20301938,0.48219314,-0.6180832,-0.64439505,0.13876121,0.18013664,-0.38262695,-0.5711908,-0.47314373,-0.43294087,-0.33408913,-0.34665713,-0.39280435,-0.4246279,-0.39188606,-0.044720963,-0.25816536,0.08548826,-0.54109234,0.047801916,0.24020442,-0.25883612
batch1_sample1_transformed,-0.19448009,-0.2985533,0.10572297,-0.06817507,0.30288106,-0.084343575,0.42290053,-0.46282384,0.61642826,-0.21447143,-0.53848225,0.5751631,-0.5719885,0.105921715,-0.8223086,0.026592113,-0.6269069,-0.42980888,-0.8147708,-0.7554245,0.11136687,0.23561406,-0.14294685,-0.3050117,-0.3327747,-0.4703109,0.1721032,0.88207054,0.07035716,-0.2106914
batch1_sample1_transformed,0.23403019,0.3401879,-0.78725696,0.90928936,-0.3365332,0.96966976,-0.48778453,0.9956702,-0.97262913,0.93317026,-0.8031813,0.09449641,0.9435748,-0.6261271,0.9887661,0.8689289,0.27394652,0.93044347,0.9733713,0.9996034,-0.42459896,0.94097257,0.6229078,0.92024845,0.05445169,0.96138227,0.99340314,-0.9472091,0.6587918,0.3530293
batch1_sample1_transformed,-0.7651971,-0.20604011,-0.35449353,0.3221951,0.45194706,-0.5551464,-0.2889036,-0.52983993,0.4475429,0.48575532,-0.739843,-0.58730173,0.030445948,0.6069298,-0.52707076,-0.3599737,-0.7246342,0.34730962,-0.31840095,-0.024187747,-0.29704064,-0.65523726,-0.07002333,-0.20329724,-0.40198806,0.09651941,-0.30719388,-0.21005042,0.43817064,-0.55609185
batch1_sample1_transformed,-0.7952068,-0.64096975,-0.23438576,-0.1855914,-0.5277148,-0.5223696,0.032605983,-0.84615064,0.26682293,-0.7263463,-0.4616752,-0.66839534,-0.77560616,-0.6965894,0.26738155,-0.51480055,-0.641517,-0.47042024,-0.5427672,-0.25724775,-0.111371025,-0.3678437,-0.28474003,-0.5903402,-0.42634037,-0.35500908,-0.66639185,0.20683226,-0.4768905,-0.41223034
batch1_sample1_transformed,0.11989641,-0.78637487,-0.17323038,-0.63820904,-0.21232417,-0.18897802,-0.7828131,-0.5061764,-0.38451588,-0.81706786,0.37222016,0.32102582,-0.7740677,-0.19734316,0.39610067,-0.08539103,-0.5220167,0.03054828,0.27824715,-0.68196803,-0.3612191,0.5741506,-0.5274495,0.086655386,0.25828147,-0.6229927,0.23946904,0.8521903,-0.5186545,-0.5415789
batch1_sample1_transformed,0.013012285,-0.74431247,-0.7835714,0.60700566,-0.37771404,-0.63726944,-0.57408565,-0.15385504,-0.4595478,-0.20526366,-0.71816117,-0.73150843,0.45477936,-0.6300751,0.11058946,-0.8181553,-0.5815837,0.15628026,0.28140354,0.39063284,-0.7360888,-0.17480247,0.05140656,-0.2004134,-0.23216055,0.23937076,0.077651754,0.16043963,-0.5631225,0.507257
batch1_sample1_transformed,-0.5900589,-0.13206446,0.8408493,-0.68928677,0.43105802,-0.106485635,-0.87848705,-0.2221016,0.36518118,0.4821375,-0.44004685,-0.12453115,-0.63084316,0.62579453,-0.5660806,-0.035920482,-0.8493077,0.80336523,0.74923515,-0.8326803,-0.40275618,-0.3637147,-0.36906824,0.23190348,-0.17900623,-0.7099452,0.13359722,0.76441664,0.15311755,-0.3024674
batch1_sample1_transformed,-0.73335564,0.2865808,-0.41492212,0.53233576,0.27066466,-0.6816147,-0.4205033,-0.03468822,0.44180107,0.49673924,-0.87174636,0.15206312,-0.25255182,0.8726025,-0.092706345,-0.40690294,-0.32837495,0.219371,0.08475986,0.3142372,0.3595353,-0.08483577,-0.32636088,0.1186711,-0.37558138,0.13684942,-0.37025377,-0.7207015,0.599468,-0.55625963
batch1_sample1_transformed,0.6837997,0.9111221,-0.06429764,-0.72065467,0.8102163,0.20441735,0.8447772,0.8217431,0.52398723,-0.67264706,0.47415972,0.9635538,0.10668339,0.7897536,0.14865048,0.8387221,0.97093743,-0.84723544,-0.90466887,-0.23838288,0.9357561,-0.30143028,0.59556305,-0.41738638,0.37427408,0.76470023,0.37298948,-0.7121504,0.5708616,-0.55827975
batch1_sample1_transformed,-0.84304124,-0.6778096,-0.34207276,0.08173906,-0.41434976,-0.5221446,-0.22039635,-0.80818564,0.27940708,-0.39440694,-0.6837358,-0.72792804,-0.6086258,-0.35647693,0.08285489,-0.5927496,-0.74990326,-0.37792063,-0.32106507,-0.3282468,-0.24938127,-0.38209003,-0.36428905,-0.41542745,-0.44888264,-0.28110352,-0.66403955,0.20102254,-0.25367716,-0.41984823
batch1_sample1_transformed,-0.33199513,0.068895265,-0.5799505,0.7101369,-0.3514156,-0.106710844,0.029985825,0.0820955,-0.22317731,0.48072374,-0.8196736,0.3109184,-0.3736287,0.026948707,0.40421426,-0.06115475,-0.67504036,0.29283947,-0.33120024,0.6230268,-0.31411275,0.21888453,-0.19331709,0.40183803,-0.2082717,0.7320591,0.43559358,-0.3126166,0.55216223,-0.45078677
batch1_sample1_transformed,-0.37939087,-0.8179339,-0.41451,-0.23493606,-0.19486043,-0.46387765,-0.62610584,-0.80777466,-0.13650404,-0.72912973,-0.19410418,-0.26892295,-0.7372387,-0.3773048,0.17761968,-0.57674927,-0.7458958,-0.22394225,-0.31058282,-0.52209675,-0.56018555,0.15952358,-0.3690918,-0.49138534,-0.08365367,-0.61994183,-0.23327257,0.7605762,-0.4791338,-0.3931856
batch1_sample1_transformed,-0.30562168,-0.7371262,-0.18703547,-0.5282017,0.10107944,-0.62653923,-0.75098574,-0.8549883,-0.018618535,-0.57628465,0.21749642,-0.28230086,-0.668305,-0.07153197,-0.06847496,-0.49256054,-0.69314086,0.03811083,0.07600602,-0.5347525,-0.5735747,-0.37329233,-0.08512815,-0.5567793,0.039010875,-0.80488086,-0.29856595,0.7662707,-0.38714054,-0.37019062
batch1_sample1_transformed,0.9994761,0.9748624,0.9814187,-0.75949526,0.8253227,0.99916774,0.99395007,0.999926,-0.6908231,0.84735143,0.9998287,0.9789426,0.99765605,0.49612767,-0.15834278,0.99963176,0.9999722,-0.98006177,0.7342613,0.22884212,0.9966959,0.86851114,0.65311617,0.20095944,0.9657648,-0.20328794,0.87273717,-0.2994462,-0.5509665,0.9665902
batch1_sample1_transformed,-0.2973553,-0.4965391,-0.82539034,0.5382979,0.14264719,-0.71256214,-0.8091447,0.10729989,-0.41858992,-0.1218704,-0.8405659,-0.43180254,0.15710591,-0.12773255,0.15690193,-0.5688997,-0.66400754,0.7859568,0.56142986,0.7552068,-0.4121494,0.14361836,0.0699597,0.22108081,-0.5265287,0.1793768,0.5256686,-0.018726109,-0.15141287,-0.1065918
batch1_sample1_transformed,-0.84602726,-0.49700993,-0.48144215,-0.031941656,-0.030353358,-0.6533328,-0.27013063,-0.903583,0.08093745,-0.18999112,-0.39684135,-0.7854493,-0.07235548,-0.33321258,-0.13213739,-0.75033724,-0.7113386,-0.06540487,-0.26465616,-0.14968935,-0.6634603,-0.6128748,0.117034756,-0.5469276,-0.5453619,-0.29167736,-0.5488191,-0.11000114,-0.04330108,-0.119172625
batch1_sample1_transformed,-0.052970633,-0.7519736,-0.63596237,0.44218004,-0.31058252,-0.44602433,0.09472645,-0.3928278,0.20554312,-0.44710407,-0.64466125,-0.14862841,-0.33306974,-0.3850645,-0.12814781,-0.54189503,-0.45213303,-0.6370901,-0.6006611,-0.22096267,-0.07622029,0.13480476,-0.29603198,-0.47287604,-0.04506287,-0.2680165,-0.037435614,0.6727336,-0.47377193,-0.2373919
batch1_sample1_transformed,-0.44025564,-0.37644863,-0.3029575,-0.10589989,0.21147685,-0.4463525,-0.15983404,-0.8143716,0.10386928,0.51127285,0.27740023,-0.59796035,0.08594431,0.3159634,-0.36794573,-0.3400455,-0.43797764,-0.28315553,-0.20386556,-0.21198153,-0.59194696,-0.80658585,0.230418,-0.6414173,0.030988455,-0.61820805,-0.5787368,0.25728735,0.26309577,-0.13610613
batch1_sample1_transformed,-0.64429575,-0.67706543,-0.37672076,-0.3587101,-0.5828452,-0.71345294,0.18316941,-0.8889744,0.13400175,-0.7815777,0.15427013,-0.5553852,-0.81435096,-0.73860925,0.18577248,-0.3564956,-0.5049546,-0.46160987,-0.60752326,-0.023316627,-0.24818157,-0.52333844,-0.1457858,-0.7289529,-0.25440073,-0.5782906,-0.70578635,0.33709428,-0.5708826,-0.2875621
batch1_sample1_transformed,0.043347113,0.61604756,-0.6002969,-0.5573983,0.17166954,-0.45653802,0.5811956,0.19322038,-0.08110625,-0.52075,0.45517752,0.6396337,-0.03775977,0.64066625,-0.057571746,0.34536308,0.7743947,-0.0638791,-0.40753525,-0.08561012,-0.028685464,-0.5188751,-0.15410182,0.2764326,0.15761685,0.74068195,-0.07834057,-0.91964203,0.67256105,-0.4837844
